"","logFC","logCPM","LR","PValue","FDR","diffexpressed","SYMBOL","delabel"
"hsa-let-7c",TRUE,11.3709090723458,90.6600128843466,1.7060649906124e-21,9.58808524724171e-20,"No","hsa-let-7c","hsa-let-7c"
"hsa-mir-101-1",TRUE,13.4792686892695,159.046260034757,1.82823833177513e-36,5.03407305507318e-34,"No","hsa-mir-101-1","hsa-mir-101-1"
"hsa-mir-101-2",TRUE,13.4947226661409,158.724234790418,2.14978208757573e-36,5.03407305507318e-34,"No","hsa-mir-101-2","hsa-mir-101-2"
"hsa-mir-105-1",TRUE,4.55465281370495,58.4963338725109,2.03670112903169e-14,4.85011031574496e-13,"UP","hsa-mir-105-1","hsa-mir-105-1"
"hsa-mir-105-2",TRUE,4.54901322481812,58.6106271883634,1.9217564268432e-14,4.65528927537016e-13,"UP","hsa-mir-105-2","hsa-mir-105-2"
"hsa-mir-10a",TRUE,13.9655105687435,50.134041034847,1.43594222340058e-12,2.6546037156287e-11,"No","hsa-mir-10a","hsa-mir-10a"
"hsa-mir-10b",TRUE,14.207200072174,127.842712343045,1.2150012198396e-29,1.89675190430515e-27,"UP","hsa-mir-10b","hsa-mir-10b"
"hsa-mir-1180",TRUE,4.69936552118233,62.2466340857267,3.03026435632122e-15,8.51504284126264e-14,"UP","hsa-mir-1180","hsa-mir-1180"
"hsa-mir-1224",TRUE,0.29408686054082,15.8445212667917,6.87653401608798e-05,0.000311662267503342,"UP","hsa-mir-1224","hsa-mir-1224"
"hsa-mir-1226",TRUE,0.966788551258834,35.1471882666737,3.05702480015265e-09,3.43609587537157e-08,"UP","hsa-mir-1226","hsa-mir-1226"
"hsa-mir-1229",TRUE,0.20785978756626,23.8623184239748,1.03477575112556e-06,7.41765270577248e-06,"UP","hsa-mir-1229","hsa-mir-1229"
"hsa-mir-1251",TRUE,1.32505066160042,50.4613196568802,1.21536762416268e-12,2.30755609722779e-11,"UP","hsa-mir-1251","hsa-mir-1251"
"hsa-mir-1254-1",TRUE,-0.602951460750337,43.0847730453123,5.24186342438316e-11,7.59259599098798e-10,"UP","hsa-mir-1254-1","hsa-mir-1254-1"
"hsa-mir-1254-2",TRUE,-0.636290109842617,21.5638422092105,3.42243568235289e-06,2.11829168885718e-05,"UP","hsa-mir-1254-2","hsa-mir-1254-2"
"hsa-mir-1258",TRUE,1.74648417279006,153.045274118525,3.74436626064441e-35,7.51547799457913e-33,"No","hsa-mir-1258","hsa-mir-1258"
"hsa-mir-125b-1",TRUE,8.33920889460044,79.2491727718365,5.47502807263284e-19,2.26247483589681e-17,"No","hsa-mir-125b-1","hsa-mir-125b-1"
"hsa-mir-125b-2",TRUE,8.46193818162929,81.1745048640682,2.06640711869532e-19,9.07281875552163e-18,"No","hsa-mir-125b-2","hsa-mir-125b-2"
"hsa-mir-1266",TRUE,2.98011504322737,58.6178210094112,1.91474265903323e-14,4.65528927537016e-13,"UP","hsa-mir-1266","hsa-mir-1266"
"hsa-mir-1269a",TRUE,9.27181742781198,78.0026290375146,1.02903502225048e-18,4.01609501739425e-17,"UP","hsa-mir-1269a","hsa-mir-1269a"
"hsa-mir-1269b",TRUE,6.66782358239137,47.1710638724154,6.50537713514418e-12,1.07530057351501e-10,"UP","hsa-mir-1269b","hsa-mir-1269b"
"hsa-mir-1270",TRUE,1.46732891485027,38.7822916491105,4.73806764674181e-10,5.9606698904132e-09,"UP","hsa-mir-1270","hsa-mir-1270"
"hsa-mir-1275",TRUE,-0.435683319679375,25.5626078563472,4.28258537475142e-07,3.34279580640319e-06,"No","hsa-mir-1275","hsa-mir-1275"
"hsa-mir-1276",TRUE,-0.409432025801923,24.2904964443117,8.28468085087078e-07,6.09422858401751e-06,"UP","hsa-mir-1276","hsa-mir-1276"
"hsa-mir-1283-1",TRUE,0.226521028256756,11.6970551458749,0.000625990910376662,0.00238351552595992,"UP","hsa-mir-1283-1","hsa-mir-1283-1"
"hsa-mir-1283-2",TRUE,0.649747054403292,11.534922000131,0.000683009431475657,0.00257272989604101,"UP","hsa-mir-1283-2","hsa-mir-1283-2"
"hsa-mir-1292",TRUE,-0.0935026140774651,24.7241453852631,6.6150235763345e-07,4.99683232513439e-06,"UP","hsa-mir-1292","hsa-mir-1292"
"hsa-mir-1293",TRUE,-0.621119491675866,25.2280146793113,5.09369054592995e-07,3.88947566143021e-06,"UP","hsa-mir-1293","hsa-mir-1293"
"hsa-mir-1295a",TRUE,1.52852657001562,22.9896637405205,1.62874760828414e-06,1.11086912118409e-05,"UP","hsa-mir-1295a","hsa-mir-1295a"
"hsa-mir-1301",TRUE,3.62737909283972,44.0979408885452,3.12349343971509e-11,4.75256338907753e-10,"UP","hsa-mir-1301","hsa-mir-1301"
"hsa-mir-130a",TRUE,6.10922889635588,78.921765702462,6.46188830875337e-19,2.59398659251385e-17,"No","hsa-mir-130a","hsa-mir-130a"
"hsa-mir-1323",TRUE,2.76756576362535,22.9035444477944,1.70337464674599e-06,1.1514532383475e-05,"UP","hsa-mir-1323","hsa-mir-1323"
"hsa-mir-133b",TRUE,-0.223333992555577,19.2533947825752,1.14466657824949e-05,6.28225211890834e-05,"No","hsa-mir-133b","hsa-mir-133b"
"hsa-mir-135a-1",TRUE,1.79315283807765,44.0839960766485,3.14582487675594e-11,4.75256338907753e-10,"UP","hsa-mir-135a-1","hsa-mir-135a-1"
"hsa-mir-135a-2",TRUE,2.00940494092029,52.632040161999,4.02272739748124e-13,8.43571939322559e-12,"UP","hsa-mir-135a-2","hsa-mir-135a-2"
"hsa-mir-135b",TRUE,1.98491232556406,11.1983689015478,0.000818692644826019,0.00298769653501443,"UP","hsa-mir-135b","hsa-mir-135b"
"hsa-mir-137",TRUE,0.66007701519049,22.8934237719514,1.71236701480793e-06,1.1514532383475e-05,"UP","hsa-mir-137","hsa-mir-137"
"hsa-mir-139",TRUE,7.51151634672451,162.499316266274,3.21812890991269e-37,2.26073555921366e-34,"No","hsa-mir-139","hsa-mir-139"
"hsa-mir-141",TRUE,6.00700437041744,23.0390076824059,1.58747544654531e-06,1.09333480509616e-05,"UP","hsa-mir-141","hsa-mir-141"
"hsa-mir-145",TRUE,10.2997965436461,52.546296043753,4.20224542053354e-13,8.68258061154355e-12,"No","hsa-mir-145","hsa-mir-145"
"hsa-mir-147b",TRUE,-0.11439958237873,16.7204491248929,4.33116270710986e-05,0.000206982435492835,"UP","hsa-mir-147b","hsa-mir-147b"
"hsa-mir-182",TRUE,13.2046797748341,85.7780969897469,2.01303570256302e-20,1.01011255789323e-18,"UP","hsa-mir-182","hsa-mir-182"
"hsa-mir-183",TRUE,11.8484763006258,96.5194879496985,8.83697222878912e-23,6.5347084112888e-21,"UP","hsa-mir-183","hsa-mir-183"
"hsa-mir-184",TRUE,4.30384130862108,48.6673428425285,3.0327456916839e-12,5.39368062888086e-11,"UP","hsa-mir-184","hsa-mir-184"
"hsa-mir-18a",TRUE,4.74568187961083,45.015523591225,1.95478666342339e-11,3.08592726079759e-10,"UP","hsa-mir-18a","hsa-mir-18a"
"hsa-mir-190b",TRUE,0.688657494181276,55.9958718367168,7.26233490393551e-14,1.61961595873482e-12,"UP","hsa-mir-190b","hsa-mir-190b"
"hsa-mir-1915",TRUE,-0.747987477027247,15.0535294125006,0.000104504656270826,0.000455990813852515,"UP","hsa-mir-1915","hsa-mir-1915"
"hsa-mir-195",TRUE,5.32650933608278,97.7248545853843,4.80749984777242e-23,3.97325722712956e-21,"No","hsa-mir-195","hsa-mir-195"
"hsa-mir-196a-1",TRUE,3.16918232308645,33.3456563339265,7.7149945077915e-09,7.97027006135813e-08,"UP","hsa-mir-196a-1","hsa-mir-196a-1"
"hsa-mir-196a-2",TRUE,3.31284308726413,33.350092577621,7.6974155733332e-09,7.97027006135813e-08,"UP","hsa-mir-196a-2","hsa-mir-196a-2"
"hsa-mir-196b",TRUE,6.35078289084393,56.2063423977243,6.52507129420215e-14,1.50290576530394e-12,"UP","hsa-mir-196b","hsa-mir-196b"
"hsa-mir-199a-1",TRUE,9.51927107458135,37.675301555046,8.35558296809978e-10,9.70214385965305e-09,"No","hsa-mir-199a-1","hsa-mir-199a-1"
"hsa-mir-199a-2",TRUE,10.1391746074023,43.9926526142973,3.29610828378021e-11,4.87477067232758e-10,"No","hsa-mir-199a-2","hsa-mir-199a-2"
"hsa-mir-199b",TRUE,10.2314621104294,52.8519313586328,3.59664830212789e-13,7.65650130983287e-12,"No","hsa-mir-199b","hsa-mir-199b"
