"","logFC","logCPM","LR","PValue","FDR","diffexpressed","SYMBOL","delabel"
"hsa-mir-6871",1.46847219890642,-1.1389515692506,18.1546770233865,2.03668606629098e-05,0.000106377097514455,"UP","hsa-mir-6871","hsa-mir-6871"
"hsa-mir-6883",-1.38597024365979,-1.0938406657024,22.3392087570486,2.28493395658678e-06,1.50719822018987e-05,"DOWN","hsa-mir-6883","hsa-mir-6883"
"hsa-mir-6884",1.06802010804233,-1.12040065492935,8.78400275775093,0.00303883647017451,0.00970355736498906,"UP","hsa-mir-6884","hsa-mir-6884"
"hsa-mir-6895",1.08987119719007,-0.960021612647457,9.35943547432208,0.00221840462908215,0.00725256773040579,"UP","hsa-mir-6895","hsa-mir-6895"
"hsa-mir-7112",1.5307032990779,-0.787090390146617,15.8797470909957,6.74971682336054e-05,0.000306904599897138,"UP","hsa-mir-7112","hsa-mir-7112"
"hsa-mir-7156",2.37638237494711,-0.83818901395386,19.8116173115917,8.54616698431825e-06,4.80294584518686e-05,"UP","hsa-mir-7156","hsa-mir-7156"
"hsa-mir-760",1.60167365713434,0.287725218542147,37.7079419384011,8.2169341023949e-10,9.62066034488736e-09,"UP","hsa-mir-760","hsa-mir-760"
"hsa-mir-765",1.68918290074877,-0.256176941083724,34.7856415675709,3.68078093510901e-09,4.0720450502584e-08,"UP","hsa-mir-765","hsa-mir-765"
"hsa-mir-767",9.27034659447778,4.98623407772104,70.5051935146138,4.59056369840246e-17,1.61243549906386e-15,"UP","hsa-mir-767","hsa-mir-767"
"hsa-mir-7704",-1.13511115950543,-1.25715957352441,21.8911974108394,2.88554530399097e-06,1.81802293816471e-05,"DOWN","hsa-mir-7704","hsa-mir-7704"
"hsa-mir-7706",1.55230558212231,1.57284500101816,76.2212202258195,2.53601855316823e-18,9.3765949136878e-17,"UP","hsa-mir-7706","hsa-mir-7706"
"hsa-mir-7845",-1.29702319624196,-0.95710407865418,24.6287909959686,6.95055016316021e-07,5.19442711661708e-06,"DOWN","hsa-mir-7845","hsa-mir-7845"
"hsa-mir-7974",2.23704773028334,-0.400272123862347,28.3498299317254,1.0125569942377e-07,9.00406694243022e-07,"UP","hsa-mir-7974","hsa-mir-7974"
"hsa-mir-877",1.60976312154029,1.391865484089,52.1441861337401,5.15713141920205e-13,1.03510994913984e-11,"UP","hsa-mir-877","hsa-mir-877"
"hsa-mir-888",2.49779536329263,-0.944508199778033,11.2162259069655,0.000810852279986812,0.00296679024318091,"UP","hsa-mir-888","hsa-mir-888"
"hsa-mir-889",1.42603625658203,6.08881040874072,15.7824285797932,7.105939750727e-05,0.000321023966230593,"UP","hsa-mir-889","hsa-mir-889"
"hsa-mir-891a",6.22944721971642,3.93476310589559,62.4087333761881,2.79082865938648e-15,8.00227401313877e-14,"UP","hsa-mir-891a","hsa-mir-891a"
"hsa-mir-892a",3.5786923604537,-0.500410070702686,11.7143695542839,0.000620193189850979,0.00236785715146909,"UP","hsa-mir-892a","hsa-mir-892a"
"hsa-mir-9-1",3.37544302716117,8.67785869830098,60.8976370626135,6.01209593388446e-15,1.65627348766817e-13,"UP","hsa-mir-9-1","hsa-mir-9-1"
"hsa-mir-9-2",3.33787118244077,8.68147933379243,59.7245735306157,1.09105692366504e-14,2.73738388883817e-13,"UP","hsa-mir-9-2","hsa-mir-9-2"
"hsa-mir-9-3",3.35932627787304,8.68235699775936,60.4580965915547,7.51615731020944e-15,1.95559278163783e-13,"UP","hsa-mir-9-3","hsa-mir-9-3"
"hsa-mir-922",-1.02941847003997,-1.24975064571228,14.66855489371,0.000128166722490336,0.000550685764828507,"DOWN","hsa-mir-922","hsa-mir-922"
"hsa-mir-93",1.54012383392785,12.6034313925829,111.219462715854,5.29699380892304e-26,7.44227630153687e-24,"UP","hsa-mir-93","hsa-mir-93"
"hsa-mir-937",1.51640455483595,1.80309164689635,32.3051064636194,1.31766597491588e-08,1.33188539191137e-07,"UP","hsa-mir-937","hsa-mir-937"
"hsa-mir-938",1.5372158618989,-1.1346849166287,20.189561224507,7.01346158985099e-06,4.08876080238201e-05,"UP","hsa-mir-938","hsa-mir-938"
"hsa-mir-939",1.03664041004281,0.464797421068816,29.8516765085679,4.66393410833334e-08,4.42758609608672e-07,"UP","hsa-mir-939","hsa-mir-939"
"hsa-mir-944",1.25512331192206,1.43273499384169,14.8668046497314,0.000115375560852891,0.000498777424610189,"UP","hsa-mir-944","hsa-mir-944"
"hsa-mir-96",3.57540660006807,3.74415819540178,89.1817444397392,3.60157177064791e-21,1.87415123620752e-19,"UP","hsa-mir-96","hsa-mir-96"
"hsa-mir-99a",-1.02759982901031,9.83384073348684,44.7182369654212,2.27528176509074e-11,3.55196764439165e-10,"DOWN","hsa-mir-99a","hsa-mir-99a"
